Year,['偏见'],['欺凌'],['精神病'],['创伤'],['分裂'],['阴谋'],['主权'],['恐怖主义']
1979,31.558196978494777,28.235421944008053,14.561435874062086,82.88771639818005,46.281295592973414,100.0,87.52702657741204,1.2857104160092694
1980,39.4244230484938,10.61995138630655,58.615551332840234,100.0,28.413565030337168,78.49338694640215,67.26805913604343,4.5508654676072435
1981,35.40757818107612,27.860748971276227,34.10832149608008,76.850397467384,34.32964551311696,56.57789190263502,58.88146007351914,6.111804893735956
1982,56.753620016010316,20.367240424128457,51.25414221902629,56.45792426367462,23.02843435530783,41.65436542740539,86.88137963918501,2.928273880527426
1983,100.0,17.735563452155294,32.87437465880243,47.219725663157305,35.697720321097805,45.57721002886113,96.53167608896035,1.9048719078245908
1984,87.1935839185102,23.337203376376518,50.14729239731429,35.21466938929459,24.947294847306363,31.57363608757225,59.39930285544599,4.604895602096933
1985,51.33931461705884,20.323794487989776,39.21447949614519,41.723299525901304,22.027922369474485,24.853561376770603,39.8633098772828,13.8498607369854
1986,43.58040242586198,12.578001492764997,46.54783742656775,47.544789900517635,15.157071206464712,20.933824700781944,29.707476810347444,35.4279264956932
1987,38.805949773660195,9.800015801486861,52.22484202260833,45.24661990773536,23.056585223076237,19.496870407838703,31.902824392783675,11.28102691475847
1988,39.846668890018755,10.592461018733346,46.09905928119819,48.647938685256506,22.905012895204777,17.495838615182084,28.857221847116566,11.961824751587379
1989,44.87760208800001,15.606573185625377,100.0,44.87664858129553,41.568643895479525,50.063280820140044,46.035560027482745,7.867922908343991
1990,39.983657132680534,24.743258855563315,54.294567281518226,35.27984317949197,30.547569829154785,20.858782986796978,62.13487316815358,4.023510763347317
1991,29.477429732084037,29.399881112491894,58.25045585596534,62.190852521474305,35.806717579175206,17.45640151176618,65.87252341425126,4.167812310253527
1992,23.65814201371534,8.961905336186378,42.78365951782964,40.01598064897966,27.748737790557136,8.586480198123732,53.0341785384292,5.973891723941077
1993,22.540320339749822,13.437584234556782,51.71808146026836,34.920881087856316,16.94257967413984,11.968000730125421,43.95802047393483,4.30302731134934
1994,23.417322918437538,23.65514937454012,50.05309134720151,37.87045826944274,18.584497263355924,6.083846605075436,48.42322238075846,2.7826271792744337
1995,32.70175033385421,31.545857345239746,30.925835405114537,45.05368111846034,50.864927338705,12.819049491557724,53.62253343040384,10.15228487496916
1996,33.34921546213964,24.062793051241382,37.668148185573195,47.070377441259154,44.763769990968335,8.57247909383952,53.91258172302014,15.072836077158192
1997,32.726822406830856,25.975082720124448,33.81918099769642,28.116813394436445,33.25749442566662,6.30936883377788,44.70279355251612,6.805494172669063
1998,26.436882320421123,14.836319687705277,34.787980523326986,28.264936225259852,20.858190104689477,5.86210680679861,28.095169414259402,14.660027899122568
1999,24.101270729169038,31.471714591033432,46.675278052040284,65.14904494855665,100.0,12.692763367677992,100.0,12.363662144445437
2000,32.626269751055794,20.598513950104625,24.306358946472546,54.058676631554434,67.01982709617566,7.910130633861575,69.7937838646345,18.969144130555588
2001,24.956442378917952,25.20990014044684,26.556568343176078,29.419039557513198,38.62147998954425,7.974797677420685,44.809159176893495,100.0
2002,21.28002998200046,4.122549330348359,38.44627506432982,25.04445781941609,37.37724629228549,7.057278539277524,32.528204515672684,95.39620305133862
2003,23.608070643415115,3.7408367583414965,34.886481023575776,31.020384845246806,27.18815496558004,4.391819487028924,25.055876208270067,43.12450872633071
2004,21.536951445006373,8.978534949190939,50.607534790648856,32.89455086169536,37.59099442694932,8.72357392533291,32.29029851706401,38.550291816798065
2005,23.018068105396345,19.09098419731109,31.955834171978857,32.057396225889214,58.93934390827425,6.341491518812956,25.365055426746885,30.46131944921934
2006,21.48780579177378,8.402336540003612,36.69187848967862,25.408635907553574,29.859972440243254,6.047213086094228,18.14098796605046,28.7182904890578
2007,19.141565185710444,6.223069846656299,30.794301041867843,26.08552244671355,36.33485635239859,3.886942511964319,19.10684287863176,16.627734742864376
2008,42.514320149443854,5.726146108132026,19.071849088893636,66.15194112505701,39.96406280103629,4.018113875264917,22.534347118321417,21.83534752952547
2009,22.283684885869594,31.778820858471896,22.344942769963737,50.301842091815566,45.56389055078033,5.932272505617811,27.080858861225643,19.677676672832966
2010,30.23581488849032,7.102997671000999,20.818753390100206,36.85066386283603,13.873424684925109,3.6806910778558306,37.30748379633005,20.09491071732169
2011,23.616640267475134,28.351192192957047,52.050665288954,44.108525652641944,14.235205247828803,3.807186083003953,57.777573299785146,15.86176125226071
2012,33.02429504635696,14.864939568775478,31.31799661054678,37.04580584628407,10.06734827811459,3.4707561329524674,62.81741293773903,14.598844037762824
2013,34.229930295752055,10.180198171031991,56.12157466539179,27.46754662739806,10.963293131630362,3.240192465581751,33.56863574837817,19.03656068642757
2014,42.95753360725843,17.219766090095053,51.38846363978542,36.906392600719315,13.14205386759571,2.6769249694113406,43.3159580250334,39.661511688893945
2015,40.281275374886135,30.382144592296612,30.839652930044497,35.376168134172765,15.400236833204117,4.158485646141774,33.948210753263616,48.035510448854836
2016,45.74008392642491,100.0,50.5644839764963,33.96382156650961,17.5321608490366,2.72561973710096,56.62866863823641,55.55540695203561
2017,40.98376539637131,87.50042978201476,16.378122115898787,34.74938097360724,13.724894756936552,1.1710152037086186,27.72012834999459,43.468539038542566
2018,28.950276351430798,48.22743470404184,20.961543002665923,33.16299222991056,15.731239027026241,1.7724040968287034,19.052660018103616,25.26760160513588
2019,35.15302021895497,52.16163256839992,5.880183459507974,33.443190890331095,18.655685734986218,1.8842717588276947,22.256053594581342,46.397082135534376
2020,58.41735492009851,48.68864842190964,6.22714989110796,30.477500143145804,18.696831124717196,0.8199715344914551,24.311569874418314,25.337990275020385
2021,36.73294288718472,89.13091406359096,4.07711342809214,22.448914137100502,23.509655455408147,1.9203122440387812,31.5347873978514,20.834484450921845
