chinese,foundation,frequency
做手脚,fair,0
做贼心虚,fair,7
偷拍,fair,1
偷梁换柱,fair,2
偷渡,fair,6
偷渡者,fair,0
偷看,fair,11
偷窃,fair,8
偷香窃玉,fair,0
偷鸡不成蚀把米,fair,0
偷鸡摸狗,fair,0
偿债,fair,0
偿清,fair,0
偿还,fair,97
充数,fair,3
先礼后兵,fair,0
兔死狐悲,fair,0
党风廉政,fair,0
公买公卖,fair,0
公事公办,fair,2
公平,fair,77
公平交易,fair,0
公报私仇,fair,0
公款送礼,fair,0
公正廉明,fair,0
公正廉洁,fair,0
公正清廉,fair,0
公民权,fair,18
公民权利,fair,26
公道,fair,33
兴利除弊,fair,2
兵不厌诈,fair,1
其人之身,fair,0
其人之道,fair,0
兼听则明,fair,7
内定,fair,0
内幕交易,fair,0
内线交易,fair,0
内线消息,fair,0
冠冕堂皇,fair,15
冤假错案,fair,114
冤头,fair,0
冤屈,fair,19
冤情,fair,7
冤抑,fair,1
冤枉,fair,43
冤案,fair,465
冤死,fair,3
冤气,fair,0
冤狱,fair,49
冤苦,fair,0
冤诬,fair,0
冤魂,fair,3
凭信,fair,0
出口气,fair,1
分权制衡,fair,0
分赃,fair,5
刑法,fair,367
划算,fair,1
刚正,fair,6
刚正不阿,fair,23
刚直,fair,3
判赔,fair,0
利令智昏,fair,4
利己,fair,7
刺客,fair,2
刻薄,fair,3
剖肝沥胆,fair,0
剥削,fair,315
劝善惩恶,fair,0
办事公道,fair,0
功高不赏,fair,0
务虚,fair,8
劣势,fair,40
助纣为虐,fair,3
勇于认错,fair,0
勤廉,fair,0
勤政廉政,fair,0
勤政廉洁,fair,0
勾心斗角,fair,8
包庇,fair,77
包拯,fair,4
包荒,fair,0
包藏祸心,fair,2
包青天,fair,3
匡扶正义,fair,0
匹配,fair,1
半推半就,fair,2
卑鄙,fair,85
占为己有,fair,0
占便宜,fair,6
厚养薄葬,fair,0
厚报,fair,0
厚此薄彼,fair,1
厚道,fair,2
原则,fair,4082
反哺,fair,0
反垄断,fair,0
反攻,fair,32
反脸无情,fair,0
反腐,fair,0
反腐倡廉,fair,0
反腐败,fair,0
反贪,fair,0
反贪腐,fair,0
反间,fair,0
反间计,fair,0
受气,fair,5
受气包,fair,0
受骗,fair,14
变心,fair,0
只许州官放火,fair,2
右袒,fair,0
司法,fair,224
司法机关,fair,91
吃亏,fair,72
吃白食,fair,0
吃闲饭,fair,2
各得其所,fair,35
合作互惠,fair,0
合同,fair,619
合情合理,fair,110
合理,fair,1223
合算,fair,35
合规,fair,0
同工同酬,fair,36
同符合契,fair,0
名不虚传,fair,12
名正言顺,fair,3
后悔,fair,20
后悔莫及,fair,2
否极泰来,fair,0
含冤,fair,70
周瑜打黄盖,fair,1
和和气气,fair,1
和盘托出,fair,5
咎有应得,fair,0
哄瞒,fair,0
哄骗,fair,7
哑巴亏,fair,0
哑巴吃黄连,fair,3
善有善报,fair,0
嗑药,fair,0
回报,fair,1
因人而异,fair,6
因果,fair,4
国法,fair,35
均摊,fair,1
均沾,fair,0
均田制,fair,0
均等,fair,14
均线,fair,0
坐收渔利,fair,1
坚守诚信,fair,0
坦承,fair,0
坦白,fair,10
坦诚相见,fair,0
垄断,fair,88
垫背,fair,0
基本原则,fair,0
塞翁失马,fair,0
声张正义,fair,0
复仇,fair,18
多行不义必自毙,fair,5
大义凛然,fair,29
大义灭亲,fair,4
大兴问罪之师,fair,0
大方,fair,32
大法官,fair,2
大锅饭,fair,98
天下归仁,fair,0
天公地道,fair,1
天妒英才,fair,0
天津条约,fair,0
天经地义,fair,21
失之东隅,fair,0
失信,fair,8
失信于人,fair,0
失信于民,fair,28
失信企业,fair,0
失信信息,fair,0
失信名单,fair,0
失信惩戒,fair,0
失信者,fair,0
失信被执行人,fair,0
失信记录,fair,0
失信黑名单,fair,0
失窃,fair,1
失职,fair,56
失道寡助,fair,7
奇谲,fair,0
奉公克己,fair,0
奉公守法,fair,11
奉公廉洁,fair,0
套取,fair,2
套话,fair,16
套语,fair,1
女权,fair,0
女权主义,fair,0
奴工,fair,0
奸党,fair,0
奸商,fair,5
奸官,fair,2
奸官污吏,fair,0
奸情,fair,0
奸猾,fair,0
奸诈,fair,7
奸险,fair,2
妒贤忌能,fair,0
妖言,fair,1
妙手空空,fair,0
姑息,fair,33
姑息养奸,fair,1
委屈,fair,35
威逼利诱,fair,5
娇宠,fair,0
娇纵,fair,5
守信,fair,167
守信用,fair,8
守法,fair,90
安富恤穷,fair,0
官官相护,fair,10
官报私仇,fair,0
实在,fair,418
实话,fair,12
宠信,fair,2
宠坏,fair,0
客套,fair,7
客气话,fair,0
客观,fair,709
宪法,fair,775
宰客,fair,0
宽仁,fair,0
宽大处理,fair,19
宽洪,fair,0
宿弊,fair,0
富农,fair,129
富贵不能淫,fair,0
对等,fair,0
小偷,fair,21
小惩大诫,fair,0
尔虞我诈,fair,2
尽忠职守,fair,0
居心,fair,5
居心叵测,fair,4
屈才,fair,1
山寨,fair,33
左右袒,fair,0
左道惑众,fair,0
师出无名,fair,2
帮腔,fair,11
平等,fair,484
平等互信,fair,0
平等互利,fair,95
平等互惠,fair,4
廉政,fair,0
廉政公署,fair,0
廉政教育,fair,0
廉洁,fair,6
廉洁公正,fair,0
廉洁勤政,fair,0
廉洁奉公,fair,37
廉洁清正,fair,0
廉洁纪律,fair,0
开后门,fair,14
开诚布公,fair,16
开门揖盗,fair,1
弄虚作假,fair,126
引入迷途,fair,0
强买强卖,fair,0
强迫劳动,fair,0
归案,fair,18
当之无愧,fair,11
形式主义,fair,174
徇私舞弊,fair,20
律法,fair,0
徙木立信,fair,0
循循善诱,fair,22
心胸宽广,fair,0
心胸狭窄,fair,1
忏悔,fair,4
忽悠,fair,0
急功近利,fair,0
性别歧视,fair,0
选举,fair,1234
恃强欺弱,fair,0
恩宠,fair,0
恶人先告状,fair,12
恶报,fair,1
恶有恶报,fair,1
悔之无及,fair,0
悔悟,fair,4
悔改,fair,30
悔过,fair,2
悔过自新,fair,1
悬殊,fair,49
惩,fair,2
惩前毖后,fair,32
惩办,fair,74
惩处,fair,96
惩治,fair,38
惩罚,fair,332
惯养,fair,0
意在沛公,fair,0
愚弄,fair,26
感恩图报,fair,1
愧恨,fair,0
慷慨捐生,fair,0
慷慨解囊,fair,2
憨厚,fair,15
懊悔,fair,8
成见,fair,8
戒规,fair,0
戡乱平反,fair,0
戴盆望天,fair,0
扒手,fair,6
扒窃,fair,17
打小报告,fair,2
打小算盘,fair,0
打抱不平,fair,2
托儿,fair,12
扣屎盔子,fair,0
扣帽子,fair,53
扪心自问,fair,8
扳平,fair,0
扶危济困,fair,1
扶弱抑强,fair,0
扶贫济困,fair,0
承担义务,fair,37
承认错误,fair,25
抄袭,fair,4
抢风头,fair,0
护短,fair,7
报仇,fair,21
报仇雪恨,fair,2
报仇雪耻,fair,0
报复,fair,80
报应,fair,9
报德,fair,1
报效,fair,1
报答,fair,18
抱不平,fair,3
抱佛脚,fair,0
抱屈,fair,0
抵债,fair,0
抵偿,fair,4
抵罪,fair,0
抵补,fair,2
抵账,fair,0
拉关系,fair,34
拐骗,fair,6
拨乱反正,fair,369
拨正,fair,3
持平,fair,4
挂羊头卖狗肉,fair,2
按理说,fair,10
挑拨离间,fair,31
挖肉补疮,fair,3
挨打受气,fair,0
捉拿归案,fair,2
捍卫,fair,349
捍卫正义,fair,0
损公肥私,fair,6
排华法案,fair,0
控诉,fair,179
推心置腹,fair,17
推贤让能,fair,0
掩人耳目,fair,9
掩耳,fair,0
掩耳盗铃,fair,8
揭黑,fair,0
揽辔澄清,fair,0
搀假,fair,0
搞花样,fair,0
撞骗,fair,0
擦边球,fair,0
攘窃,fair,0
改过自新,fair,3
改邪归正,fair,18
攻讦,fair,2
放刁,fair,0
政法,fair,135
敛财,fair,1
敛钱,fair,0
敲诈,fair,11
敲诈勒索罪,fair,0
斗鸡走马,fair,0
无信,fair,0
无所不用其极,fair,7
无良商家,fair,0
无赖,fair,20
既往不咎,fair,7
旧愁新恨,fair,0
明修栈道,fair,1
明理,fair,7
明理遵规,fair,0
昧良心,fair,0
是非曲直,fair,5
暗中监视,fair,0
暗害,fair,7
暗无天日,fair,6
暗渡陈仓,fair,1
暴力法,fair,0
替罪,fair,0
替罪羔羊,fair,0
最惠国,fair,38
最惠国待遇,fair,0
最高法院,fair,58
有失厚道,fair,0
有权,fair,550
有来有往,fair,5
有色眼镜,fair,3
有苦说不出,fair,0
有难同当,fair,0
服法,fair,0
望梅止渴,fair,1
朝纲,fair,0
朝闻夕改,fair,0
朦在鼓里,fair,0
朴实,fair,51
杀富济贫,fair,0
杀彘教子,fair,0
杀熟,fair,0
权利,fair,1223
权利法案,fair,0
条约,fair,1819
来而不往非礼也,fair,0
果报,fair,0
梁上君子,fair,2
检举,fair,55
横行霸道,fair,35
欺人太甚,fair,11
欺哄,fair,0
欺男霸女,fair,0
欺诈,fair,7
正义,fair,442
正义之士,fair,0
正义之心,fair,0
正义使者,fair,0
正义凛然,fair,0
正义心,fair,0
正义感,fair,15
正义战争,fair,7
正义斗争,fair,330
正名,fair,3
正大光明,fair,3
正当防卫,fair,7
正气,fair,67
正直,fair,52
正直清廉,fair,0
歧视,fair,196
歪点子,fair,1
比价,fair,19
毛出在羊身上,fair,0
民主,fair,5733
民族平等,fair,20
民脂民膏,fair,4
气不平,fair,0
水落石出,fair,5
江湖医生,fair,1
江湖骗子,fair,3
沐猴而冠,fair,0
沾光,fair,10
法令,fair,392
法制,fair,1052
法定义务,fair,0
法庭,fair,249
法律,fair,2000
法案,fair,80
法治,fair,41
法院,fair,314
法院裁决,fair,0
洗冤,fair,0
洗心革面,fair,0
活该,fair,7
济困扶危,fair,0
济贫,fair,11
海瑞,fair,72
淳朴,fair,15
混淆视听,fair,17
混蒙,fair,0
清偿,fair,2
清官,fair,25
清廉,fair,7
清廉为官,fair,0
清廉公正,fair,0
清廉如水,fair,0
清正,fair,3
清正廉明,fair,0
清正廉洁,fair,1
清风两袖,fair,0
滥杀无辜,fair,0
潜入,fair,81
澡垢索疵,fair,0
激浊扬清,fair,0
烂账,fair,0
照章,fair,3
牵制,fair,33
特权,fair,251
犯规,fair,3
狂三诈四,fair,0
狐假虎威,fair,11
狗仗人势,fair,0
狡兔三窟,fair,1
独占,fair,5
猪仔馆,fair,0
猫哭老鼠,fair,0
理所当然,fair,150
瑕不掩瑜,fair,2
瑷珲条约,fair,0
瓜田不纳履,fair,0
甜言密语,fair,0
生财有道,fair,3
申张正义,fair,1
申讨,fair,1
男女平等,fair,11
画饼充饥,fair,1
畏罪,fair,1
疏而不漏,fair,1
痛改前非,fair,15
痼癖,fair,0
癞皮,fair,0
白吃白喝,fair,0
白托,fair,0
盗伐,fair,9
盗卖,fair,2
盗取,fair,0
盗版,fair,0
盗用,fair,21
盘剥,fair,14
盛气凌人,fair,11
盲信,fair,0
直道而行,fair,0
真心实意,fair,36
真诚,fair,149
真诚善良,fair,0
瞒骗,fair,0
知人善任,fair,12
知恩,fair,3
知恩不报,fair,0
知情不报,fair,0
知法,fair,5
知法守法,fair,0
知法犯法,fair,4
知罪,fair,0
知错,fair,9
知错不改,fair,6
知错即改,fair,0
知错就改,fair,4
知错必改,fair,0
知错认错,fair,0
矫枉过正,fair,1
碰磁,fair,0
碰磁儿,fair,0
磊落大方,fair,0
礼尚往来,fair,2
社会平等,fair,0
社鼠城狐,fair,0
禁药,fair,0
私偏,fair,0
秉持正义,fair,0
秋毫无犯,fair,5
秋荼密网,fair,0
种族主义者,fair,33
积德,fair,1
积贼,fair,0
穷山恶水,fair,1
窃取,fair,60
窃国者侯,fair,0
窃权,fair,0
窃贼,fair,6
窃钩者诛,fair,0
窝藏,fair,24
窥视,fair,3
窦娥冤,fair,0
窬墙窥视,fair,0
竞争,fair,231
童叟无欺,fair,0
童工,fair,8
笃守,fair,0
笃实,fair,0
等价交换,fair,41
算帐,fair,0
篝火狐鸣,fair,0
粥少僧多,fair,0
索赔,fair,3
纠察,fair,7
纠正,fair,995
约契,fair,0
约法三章,fair,24
纪律,fair,336
纵横,fair,49
组织法,fair,128
细作,fair,3
终审,fair,14
绳之以法,fair,17
绳墨,fair,0
维护正义,fair,3
维权,fair,0
罗雀掘鼠,fair,0
罪不可恕,fair,0
罪无可恕,fair,0
罪有应得,fair,11
翻旧账,fair,1
翻老账,fair,0
老千,fair,0
老实,fair,77
老实巴交,fair,1
老实忠厚,fair,0
老少无欺,fair,0
耍得团团转,fair,0
耍赖,fair,1
耕奴,fair,0
耿直,fair,11
职分,fair,0
聪明反被聪明误,fair,0
背信,fair,2
胠箧,fair,0
胡编乱造,fair,0
胡说八道,fair,8
胸怀宽大,fair,0
脚正不怕鞋歪,fair,0
腹诽,fair,1
膏血,fair,0
自怨自艾,fair,0
自悔,fair,0
自欺,fair,6
自欺欺人,fair,17
自负盈亏,fair,102
自食其果,fair,10
舍得,fair,29
舍正从邪,fair,0
舞弊,fair,17
良法善治,fair,0
良禽择木,fair,0
花点子,fair,0
花言巧语,fair,15
苦海无边回头是岸,fair,0
苦肉计,fair,0
营私,fair,8
营私舞弊,fair,23
蒙受,fair,87
蒙在鼓里,fair,2
蒙混,fair,2
蒙蔽,fair,38
薄待,fair,0
虚与委蛇,fair,1
虚头,fair,0
虚报,fair,29
虚有其表,fair,0
蛊惑,fair,4
蠲除苛政,fair,0
蠹政,fair,0
血债累累,fair,2
血口喷人,fair,9
血证,fair,0
血账,fair,0
行窃,fair,4
衡平,fair,0
补偿,fair,54
补报,fair,1
表证,fair,0
裁判,fair,52
裁判员,fair,32
裁定,fair,102
装神弄鬼,fair,0
见利忘义,fair,0
规则,fair,61
规范,fair,21
言必信行必果,fair,0
言而无信,fair,17
言而有信,fair,1
认赔,fair,0
讨债,fair,1
讨饶,fair,0
让贤,fair,1
让贤与能,fair,0
讲信用,fair,4
讲礼守信,fair,0
讳疾忌医,fair,13
讹人,fair,0
讹诈,fair,61
论理,fair,2
设圈套,fair,1
证监会,fair,0
诈冒,fair,0
诈取,fair,0
诈唬,fair,0
诈尸,fair,0
诈欺,fair,0
诈领,fair,0
诈骗,fair,24
诈骗罪,fair,3
诉讼法,fair,7
诚信,fair,0
诚信为本,fair,0
诚信做人,fair,0
诚信待人,fair,0
诚实守信,fair,0
诚意,fair,194
诚笃,fair,0
话里套话,fair,0
诡诈,fair,3
诡谲,fair,2
诬良为盗,fair,0
误导,fair,0
诱导,fair,9
诱骗,fair,11
诳语,fair,0
说谎者,fair,2
诺言,fair,81
调停,fair,8
谣言惑众,fair,0
谦诚,fair,0
貌合神离,fair,3
财阀,fair,1
质直,fair,0
贩子,fair,9
贩私,fair,0
贪官污吏,fair,6
贪污,fair,124
贪爵慕位,fair,0
贪腐,fair,0
贪赃枉法,fair,4
贫富差距,fair,1
贱卖,fair,0
贵古贱今,fair,0
贵远贱近,fair,0
贼头贼脑,fair,1
贼船,fair,1
赃官污吏,fair,0
赃款,fair,16
赎罪,fair,1
赎罪日,fair,0
赏罚,fair,10
赔偿,fair,79
赔款,fair,18
赔礼道歉,fair,23
赔钱,fair,45
赤诚,fair,17
赤诚相见,fair,0
走私,fair,23
足金,fair,0
蹭吃,fair,0
车奴,fair,0
转面无情,fair,0
辛丑条约,fair,0
辩护人,fair,87
辩白,fair,1
辩解,fair,121
辩证施治,fair,0
迁怒于人,fair,0
还手,fair,20
还礼,fair,1
违信背约,fair,0
违强凌弱,fair,0
违强陵弱,fair,0
违法,fair,141
违法乱纪,fair,200
迷误,fair,1
迷途知返,fair,9
追悔,fair,0
追悔莫及,fair,2
追求正义,fair,0
追赃,fair,2
造假,fair,4
逼供信,fair,23
道义,fair,42
道理,fair,446
道貌岸然,fair,3
道高一尺,fair,0
遵法施行,fair,0
邪门歪道,fair,12
酬报,fair,2
醉翁之意不在酒,fair,1
采花大盗,fair,0
重典,fair,0
重利轻义,fair,0
重罚,fair,1
重诚信,fair,0
量刑,fair,58
金玉其外败絮其中,fair,0
金玉其表败絮其中,fair,0
钻空子,fair,4
铁面,fair,3
银样镴枪头,fair,0
销赃,fair,9
错案,fair,479
错爱,fair,0
问罪,fair,7
问罪之师,fair,3
阔气,fair,9
防弊,fair,0
阴谋,fair,678
阴险,fair,41
阴险毒辣,fair,4
除恶务尽,fair,1
除暴安良,fair,0
隶圉,fair,0
难能可贵,fair,52
雪耻,fair,3
霸占,fair,99
霸道,fair,44
青天,fair,8
青红皂白,fair,1
非正义,fair,14
靠得住,fair,9
面子,fair,42
顶天立地,fair,6
顺手牵羊,fair,1
饶恕,fair,4
骗供,fair,1
骗取,fair,35
骗局,fair,38
骗徒,fair,2
骗术,fair,4
高官厚禄,fair,7
高薪养廉,fair,0
鬼鬼祟祟,fair,4
魔高一丈,fair,0
鱼龙混杂,fair,1
鳄鱼眼泪,fair,0
鸣不平,fair,14
鸿门宴,fair,4
黑幕,fair,2
黑店,fair,8
黑鬼,fair,0
光明正大,fair,39
光明磊落,fair,101
正当,fair,486
应当,fair,3143
一视同仁,fair,62
相等,fair,54
无偏见,fair,1
无偏差,fair,0
同等,fair,105
平均,fair,2438
一样,fair,1980
平衡,fair,869
相称,fair,18
均匀,fair,61
均势,fair,123
均衡,fair,117
互利,fair,75
合适,fair,104
公正,fair,291
公义,fair,0
公心,fair,1
大公,fair,15
诚实,fair,28
公允,fair,5
不歧视,fair,0
不偏,fair,0
不倚,fair,0
排挤,fair,46
区别对待,fair,31
无原则,fair,15
不择手段,fair,44
欺骗,fair,278
骗人,fair,54
骗子,fair,42
蒙骗,fair,21
诓骗,fair,0
行骗,fair,1
偏执,fair,1
偏袒,fair,20
偏差,fair,71
偏爱,fair,8
排斥,fair,105
非法,fair,377
不正义,fair,0
不正当,fair,0
不义,fair,6
不平等,fair,0
不均衡,fair,0
不平衡,fair,0
不均,fair,18
失衡,fair,1
不合适,fair,0
不公平,fair,0
不公,fair,6
不当,fair,118
不诚实,fair,5
一尘不染,sanc,7
一灵真性,sanc,0
万世师表,sanc,0
万古长青,sanc,24
万恶,sanc,34
三仇,sanc,0
三级片,sanc,0
三自爱国教会,sanc,0
三藏法师,sanc,0
三魂七魄,sanc,0
上梁不正,sanc,0
上瘾,sanc,1
上苍,sanc,0
下流无耻,sanc,0
不安其室,sanc,0
不干不净,sanc,0
不知廉耻,sanc,0
不知羞耻,sanc,1
不知耻,sanc,0
与日同辉,sanc,0
丑恶,sanc,88
业障,sanc,0
东洋鬼,sanc,0
丧尽天良,sanc,8
丧心病狂,sanc,14
丧棒,sanc,0
中邪,sanc,0
主教,sanc,8
主祭,sanc,0
义不容辞,sanc,33
义薄云天,sanc,0
乌烟瘴气,sanc,12
乐施会,sanc,0
乘鹤,sanc,0
乱伦,sanc,0
乱搞男女关系,sanc,0
二奶,sanc,0
五瘟神,sanc,0
五鬼,sanc,0
亡国虏,sanc,0
交欢,sanc,0
享乐主义,sanc,1
亵昵,sanc,0
人杰地灵,sanc,1
人间地狱,sanc,1
仁人志士,sanc,6
仆街,sanc,0
仙乐,sanc,1
仙乡,sanc,0
仙姿玉色,sanc,0
仙桃,sanc,0
代祷,sanc,0
令誉,sanc,0
以身抵债,sanc,0
伉俪情深,sanc,0
伊斯兰圣战组织,sanc,0
伊玛目,sanc,13
伟业,sanc,1
传戒,sanc,0
传道书,sanc,0
伤天害理,sanc,3
伪经,sanc,0
佑护,sanc,0
佛,sanc,11
佛像,sanc,33
佛号,sanc,1
佛寺,sanc,8
佛性,sanc,0
佛经,sanc,12
佛舍利,sanc,0
佛诞日,sanc,0
佛陀,sanc,1
作古,sanc,0
作呕,sanc,0
作战勇敢,sanc,0
供奉,sanc,15
侮慢,sanc,1
保佑,sanc,7
保祐,sanc,0
信仰,sanc,127
信经,sanc,0
修女,sanc,3
修行,sanc,1
修道会,sanc,0
做礼拜,sanc,5
做祷告,sanc,0
做鬼,sanc,0
傍家儿,sanc,0
傍柳随花,sanc,0
傩神,sanc,0
傻屄,sanc,0
先知,sanc,2
先贤,sanc,0
光荣,sanc,700
八国联军,sanc,2
公孙龙,sanc,0
六亲不认,sanc,0
兰摧玉折,sanc,0
共工,sanc,0
冤孽,sanc,1
冥婚,sanc,0
冥府,sanc,0
冥王,sanc,0
冰壶秋月,sanc,0
冰清玉洁,sanc,1
冶荡,sanc,0
净土,sanc,1
净心修身,sanc,0
凡尘,sanc,0
刑辱,sanc,0
剃发令,sanc,0
剃度,sanc,1
前尘,sanc,0
功德无量,sanc,0
勇于献身,sanc,0
勒戒,sanc,0
化缘,sanc,2
医者仁心,sanc,0
十戒,sanc,0
十诫,sanc,0
卑污,sanc,1
卑鄙,sanc,85
卑鄙无耻,sanc,2
卑陋龌龊,sanc,0
单纯,sanc,285
卖春,sanc,0
南天门,sanc,4
卜占,sanc,0
卜卦,sanc,0
厉鬼,sanc,2
厚颜无耻,sanc,22
原罪,sanc,6
反基督,sanc,0
反感,sanc,30
反迷信,sanc,0
受命于天,sanc,0
受戒,sanc,2
古刹,sanc,2
叫床,sanc,0
叫鸡,sanc,0
可憎,sanc,6
可耻,sanc,127
吃喝嫖赌,sanc,0
合卺,sanc,0
名垂青史,sanc,0
名誉,sanc,122
吠陀,sanc,0
吸毒,sanc,21
吸毒成瘾,sanc,0
咒诅,sanc,0
咽气,sanc,0
善缘,sanc,0
善良单纯,sanc,0
嗜痂成癖,sanc,0
嗣徽,sanc,0
四圣谛,sanc,0
四灵,sanc,0
四谛,sanc,0
回禄,sanc,0
回肠荡气,sanc,1
因缘,sanc,6
圆寂,sanc,0
土谷祠,sanc,0
圣体,sanc,0
圣体血,sanc,0
圣像,sanc,0
圣僧,sanc,0
圣典,sanc,0
圣化,sanc,0
圣地,sanc,31
圣城,sanc,6
圣奥古斯丁,sanc,0
圣婴,sanc,4
圣子,sanc,0
圣庙,sanc,0
圣心,sanc,2
圣明,sanc,4
圣杯,sanc,0
圣殿,sanc,2
圣母,sanc,14
圣水,sanc,1
圣火,sanc,1
圣灵,sanc,0
圣父,sanc,0
圣盘,sanc,0
圣礼,sanc,0
圣祖,sanc,0
圣神,sanc,0
圣索非亚大教堂,sanc,0
圣经,sanc,10
圣经贤传,sanc,0
圣者,sanc,1
圣迹,sanc,1
圣餐,sanc,0
地府,sanc,1
地狱,sanc,31
地痞,sanc,0
地藏王菩萨,sanc,0
坎特伯雷大主教,sanc,0
坏包儿,sanc,0
坚贞,sanc,11
坚贞不渝,sanc,2
塔公寺,sanc,0
大公无私,sanc,54
大愿地藏菩萨,sanc,0
大日如来,sanc,0
大祭司,sanc,0
大藏经,sanc,0
天主教会,sanc,6
天仙,sanc,4
天伦,sanc,1
天使,sanc,11
天使报喜节,sanc,0
天命,sanc,6
天国,sanc,7
天地,sanc,98
天堂,sanc,23
天时,sanc,12
天界,sanc,4
天真,sanc,24
天神,sanc,7
天竺,sanc,6
天诛,sanc,0
天赐,sanc,1
天道,sanc,0
天长地久,sanc,1
天顺,sanc,6
天香国色,sanc,0
失节,sanc,0
失身,sanc,0
夹山寺,sanc,0
奉祀,sanc,0
奋不顾身,sanc,61
奠祭,sanc,1
奥迹,sanc,0
奸夫,sanc,0
奸尸,sanc,0
奸情,sanc,0
奸污,sanc,13
奸淫,sanc,9
奸邪,sanc,1
好色之徒,sanc,0
如来,sanc,2
如蚁附膻,sanc,0
如蝇逐臭,sanc,0
妈祖,sanc,1
妓女,sanc,0
妖怪,sanc,3
姘夫,sanc,0
姘居,sanc,0
姻缘,sanc,5
娇生惯养,sanc,7
娈童者,sanc,0
娴雅,sanc,0
娼女,sanc,0
娼妇,sanc,0
娼妓,sanc,2
婊子,sanc,1
婚礼,sanc,44
嫖妓,sanc,1
嫖娼,sanc,0
嫖资,sanc,0
孔庙,sanc,7
孝顺长辈,sanc,0
孽畜,sanc,0
宁为玉碎不为瓦全,sanc,0
守身,sanc,0
守身如玉,sanc,0
安魂弥撒,sanc,0
宝生佛,sanc,0
宣道,sanc,0
家丑不可外扬,sanc,1
家给人足,sanc,1
宿命,sanc,0
宿娼,sanc,0
寄托,sanc,86
寝苫枕块,sanc,0
寡廉鲜耻,sanc,3
寺庙,sanc,61
封建迷信,sanc,56
封斋,sanc,1
尊严,sanc,112
小蜜,sanc,0
尔雅,sanc,15
就木,sanc,0
山高水长,sanc,3
崇尚,sanc,4
崇拜仪式,sanc,0
布道,sanc,5
帝俊,sanc,0
帝喾,sanc,0
平安神宫,sanc,0
平生不做亏心事半夜敲门心不惊,sanc,0
幽冥,sanc,2
庇祐,sanc,0
应天顺时,sanc,0
庙主,sanc,0
庙塔,sanc,2
庙宇,sanc,23
庵堂,sanc,1
庸俗,sanc,20
开光,sanc,0
开戒,sanc,2
异教,sanc,0
弥勒,sanc,3
弥撒,sanc,8
归依,sanc,0
德治,sanc,5
志士仁人,sanc,7
忠烈祠,sanc,0
念经,sanc,6
性乐,sanc,0
性交易,sanc,0
性侵犯,sanc,0
性媾,sanc,0
性工作,sanc,0
性服务,sanc,0
性欲,sanc,1
性物恋,sanc,0
性瘾,sanc,0
性虐待,sanc,0
性骚扰,sanc,0
恐怖,sanc,56
恣意行乐,sanc,0
恬不知耻,sanc,12
恶浊,sanc,0
恶神,sanc,0
恶鬼,sanc,2
恹恹,sanc,0
情妇,sanc,0
情操,sanc,66
惊栗,sanc,0
意淫,sanc,0
愚昧迷信,sanc,0
慎独,sanc,0
慰安妇,sanc,0
慷慨赴义,sanc,0
懊悔,sanc,8
戒毒,sanc,4
戒毒所,sanc,0
戒绝,sanc,0
戒行,sanc,0
扒灰,sanc,0
托钵修会,sanc,0
扬清激浊,sanc,0
扶箕,sanc,0
抱头鼠蹿,sanc,0
招嫖,sanc,0
拜佛,sanc,3
拜祭,sanc,0
