Year,prejudice,bullying,mental disorder,trauma,secession,conspiracy,sovereignty,terrorism
1979,"['信仰主义', '根深蒂固', '经院哲学', '神权', '旧道德', '虚无主义', '愚昧', '伦理', '思想意识', '封建思想', '民族压迫', '礼教', '神学', '唯心史观', '利己主义', '陈腐', '宗法', '腐朽没落', '旧思想', '小生产者']","['受压迫', '暴虐', '凌辱', '压迫者', '愚弄', '欺侮', '非正义', '忘恩负义', '民族压迫', '蹂躏', '狰狞面目', '同受', '欺压', '四面楚歌', '鹰犬', '异族', '憎恶', '腐败', '盘剥', '窘境']","['宣告无罪', '嫌疑人', '第六十条', '取保候审', '拘传', '未遂', '第六十三条', '诈骗罪', '搜查证', '降薪', '拘留证', '未成年人', '杀人罪', '罚不当罪', '违禁品', '伪证罪', '鉴定结论', '传唤', '迟延', '由女']","['医治', '重建家园', '深重', '危难', '饱受', '外伤', '灾难性', '大灾难', '深渊', '转危为安', '肉体', '灾难', '祸害', '难以想象', '地治好', '巨大损失', '愈合', '衰弱', '元气', '难以克服']","['永久化', '阴谋活动', '挑拨离间', '纷争', '主义者', '仇视', '挑动', '分化', '互相残杀', '分裂主义', '敌对势力', '离间', '独裁', '倾轧', '祸根', '民族和解', '政治势力', '两大派', '三位一体', '敌对']","['阴谋活动', '图谋', '阴谋诡计', '永久化', '未能得逞', '走狗', '挫败', '制造舆论', '诡计', '精心策划', '策划', '追随者', '冒险主义', '密谋', '主义者', '挑动', '反动集团', '狼狈为奸', '鼓噪', '卑鄙']","['领土完整', '国家主权', '互不干涉', '互不侵犯', '干涉内政', '自决权', '管辖权', '行使主权', '民族尊严', '中立政策', '诉诸武力', '内部事务', '自决', '中立', '他国', '东耶路撒冷', '十二海里', '主权国家', '海洋权', '尊严']","['异教徒', '弱小民族', '圣战', '野蛮暴行', '非正义', '巢穴', '朗诺', '四面楚歌', '和朗诺', '鹰犬', '正义战争', '暴力行动', '获得胜利', '德意', '比勒陀利亚', '殖民政策', '保护权', '匪特', '含沙射影', '实力政策']"
1980,"['陈腐', '错误观念', '作祟', '传统观念', '习惯势力', '旧思想', '愚昧无知', '保守思想', '组织观念', '积习', '鄙薄', '余毒', '旧习', '斥之为', '囿于', '鄙视', '哥们义气', '嫉贤妒能', '错误思想', '宗派主义']","['强暴', '株连九族', '之害', '帮凶', '愚弄', '猖狂进攻', '异族', '丑恶嘴脸', '那伙', '毒菌', '伤天害理', '地受', '贪得无厌', '造谣惑众', '备受', '非人', '有受', '狰狞面目', '唾弃', '虐杀']","['结核病', '小儿麻痹', '妇科', '截瘫', '医师', '心血管病', '冠心病', '脉管炎', '肺癌', '皮肤病', '身体检查', '高血压', '糖尿病', '精神分裂症', '肝病', '妊娠', '确诊', '小儿', '乳腺癌', '肾脏']","['医治', '内伤', '身心', '深重', '在精神上', '遗留下', '肌体', '元气', '灾祸', '摧残', '浩劫', '大灾难', '污泥浊水', '太深', '祸害', '精神创伤', '伤痕', '复苏', '转危为安', '肉体上']","['挑拨离间', '纷争', '争权夺利', '阴谋活动', '政治势力', '祸根', '煽起', '矛盾激化', '煽风点火', '分化瓦解', '南北对话', '统治集团', '离间', '政治阴谋', '三党', '永久化', '勾心斗角', '挑动', '帝国主义者', '列强']","['阴谋活动', '政治阴谋', '谋害', '策划', '阴谋诡计', '策动', '图谋', '罪恶行径', '妄图', '帮凶', '篡权', '内乱', '得逞', '投靠', '诡计', '穷兵黩武', '分化瓦解', '阴险', '心理战', '暴乱']","['领土完整', '国家主权', '民族尊严', '自决', '自决权', '干涉内政', '民族自决', '民族自决权', '互不侵犯', '内部事务', '基本权利', '主权国家', '互不干涉', '合法权利', '正当权利', '南亚地区', '中立政策', '马约特岛', '平等权利', '中立区']","['新纳粹', '分裂主义', '恐怖活动', '极端分子', '极右派', '极右', '安全法', '仇视', '寡头', '种族主义者', '复国主义', '暴力行动', '反对派', '敌对', '犹太', '高压政策', '种族隔离', '破坏分子', '怠工', '右翼']"
1981,"['重男轻女', '余毒', '利己主义', '革命性', '陈腐', '经验主义', '等级制', '思想意识', '错误观念', '士大夫', '嫉妒', '悲观主义', '虚无主义', '传统观念', '见利忘义', '思想倾向', '封建残余', '市侩', '容易接受', '异己']","['宰割', '腐败无能', '奴役', '异族', '蹂躏', '受尽', '饱受', '欺侮', '铁蹄', '列强', '凌辱', '豪绅', '叛逆', '魔爪', '帝国主义者', '屈辱', '令人发指', '山河破碎', '受压迫', '摇摇欲坠']","['小儿麻痹', '膀胱', '确诊', '子宫癌', '遗传性', '心血管病', '精神分裂症', '健康检查', '乳腺癌', '放射疗法', '食道癌', '糖尿病', '肺癌', '眼病', '病理', '佝偻病', '直肠癌', '白血病', '呼吸道', '针刺']","['精神创伤', '内伤', '磨难', '后遗症', '深重', '饱受', '肌体', '后患', '百花凋零', '戕害', '祸根', '肉体', '封建意识', '创痛', '难以忍受', '幼小', '身心', '肉体上', '烂摊子', '天灾']","['阴谋活动', '四分五裂', '永久化', '分裂主义', '藩篱', '朝鲜半岛', '倒行逆施', '复国', '瓜分', '三十六年', '反动集团', '两半部', '独裁统治', '篡党夺权', '主义者', '仰人鼻息', '篡夺', '分化', '杨韦', '三通']","['阴谋活动', '阴谋诡计', '策划', '精心策划', '图谋', '篡党夺权', '篡夺', '策动', '恶毒', '罪恶行径', '险恶用心', '花招', '妄图', '颠覆', '诡计', '策划者', '作恶多端', '永久化', '分裂主义', '未能得逞']","['领土完整', '国家主权', '自决权', '中国教会', '干涉内政', '主权国家', '互不干涉', '内部事务', '民族尊严', '自决', '诉诸武力', '内政', '中立政策', '民族自决', '武力威胁', '合法利益', '互不侵犯', '合法权利', '权益', '傀儡政府']","['恐怖活动', '复国主义', '犹太复国', '挑衅性', '预谋', '反间谍', '叛乱分子', '报复性', '治安机关', '暴力行动', '现政权', '大肆宣传', '拘禁', '新纳粹', '占领者', '反南', '敌对', '沃斯特', '南非政府', '军事挑衅']"
1982,"['习惯势力', '传统观念', '论资排辈', '余毒', '错误思想', '形而上学', '错误观念', '宗派主义', '封建思想', '思想倾向', '陈腐', '教条主义', '思想僵化', '作怪', '经验主义', '关门主义', '世俗', '鄙薄', '两个凡是', '小生产者']","['饱受', '蹂躏', '凌辱', '暴虐', '憎恨', '虐杀', '压榨', '法西斯主义', '腐败无能', '奴役', '受压迫', '欺压', '奸淫', '残害', '异族', '仇敌', '滔天罪行', '令人发指', '走狗', '受尽']","['冠心病', '收治', '患有', '孕妇', '慢性病', '皮肤病', '确诊', '未成年人', '先天性', '脑炎', '致死', '陈光星', '疾患', '肝硬化', '肝病', '肺结核', '偏瘫', '监护人', '气管炎', '骨癌']","['恶果', '祸根', '极度', '祸害', '精神创伤', '困苦', '难以想象', '巨大损失', '毒害', '难以忍受', '在精神上', '悲剧性', '所受', '中受', '不良影响', '更会', '苦痛', '受到冲击', '内伤', '遗留']","['阴谋活动', '阵营', '宁汉', '反动势力', '政治势力', '合流', '独裁统治', '独裁政权', '永久化', '极右', '顽固派', '纷争', '挑拨离间', '宗派', '亲苏', '朴正熙', '争权夺利', '独裁', '从中取利', '离间']","['恐怖组织', '策划', '政治阴谋', '阴谋活动', '花招', '图谋', '玩弄', '阴谋诡计', '傀儡', '妄图', '精心策划', '伎俩', '祸国殃民', '反动势力', '骗局', '全斗焕', '美帝国主义', '妄想', '主义者', '汉奸']","['领土完整', '他国', '国家主权', '英侨', '内政', '自决', '阿对', '内部事务', '自决权', '互不干涉', '民族自决', '民族自决权', '原则立场', '迪岛', '尊重人权', '但英', '互不侵犯', '合法权利', '独立国家', '发展权']","['好战', '讹诈', '制造事端', '挑衅性', '恐怖活动', '使用暴力', '仇视', '恫吓', '横行霸道', '原教旨主义', '谋杀', '恐怖组织', '蓄谋已久', '就范', '阴谋活动', '心理战', '背信弃义', '混水摸鱼', '复国主义', '谣言']"
1983,"['抵触情绪', '错误观念', '习惯势力', '陈腐', '旧思想', '传统观念', '轻视', '论资排辈', '世俗', '多子', '流毒', '封建思想', '思想束缚', '私心杂念', '作祟', '糊涂认识', '彻底清除', '封建残余', '摈弃', '虚无主义']","['受压迫', '奴役', '凌辱', '饱受', '受尽', '欺侮', '民族压迫', '蹂躏', '魔爪', '豪绅', '暴政', '奴化教育', '残暴', '异族', '纳粹主义', '杀戮', '寡头', '封建统治', '干着', '铁蹄']","['复发', '慢性病', '肺病', '冠心病', '黄疸', '乳腺癌', '确系', '低血糖症', '患有', '精神分裂症', '并发症', '脏乱', '供认不讳', '小病', '先天性', '碰伤', '高血压', '病症', '胃病', '婚后']","['深重', '饱受', '肌体', '精神创伤', '困苦', '惨重', '消极影响', '重压', '极度', '浩劫', '所受', '惨痛', '磨难', '精神负担', '耻辱', '祸根', '难以忍受', '内忧外患', '磨灭', '灾难']","['一党', '互相残杀', '阴谋活动', '分治', '阴谋', '自相残杀', '肢解', '美帝', '挑动', '谣传', '纷争', '帝国主义者', '再起', '险恶用心', '永久化', '分而治之', '挑拨离间', '苏叙', '割据', '台湾独立']","['阴谋活动', '图谋', '未能得逞', '灭绝人性', '美帝', '罪恶行径', '污蔑', '顽固派', '篡夺', '背叛', '颠覆', '帝国主义者', '策划', '卖国贼', '戳穿', '肢解', '恶毒', '政治阴谋', '犹太复国', '诡计']","['领土完整', '行使主权', '国家主权', '治权', '自决', '主权国家', '塞浦路斯共和国', '内政', '自决权', '一九九七年', '互不干涉', '马尔维纳斯群岛', '互不侵犯', '原则立场', '民族和解', '内部事务', '恢复主权', '民族自决', '干涉内政', '豁免']","['挑衅性', '谋害', '侵略性', '预谋', '反苏', '罪恶行径', '种族主义者', '暴力行动', '背信弃义', '实力政策', '纳粹主义', '恐怖活动', '好战', '滔天罪行', '新闻自由', '臭名昭著', '犹太复国', '不宣而战', '统治集团', '非正义']"
1984,"['陈腐', '错误认识', '陈旧观念', '习惯势力', '错误观念', '求全责备', '私心杂念', '嫉贤妒能', '旧思想', '封建思想', '错误思想', '遗毒', '妒贤忌能', '作怪', '自满情绪', '思想束缚', '根子', '旧习惯', '旧习', '自卑感']","['凌辱', '饱受', '蹂躏', '奴役', '受尽', '冤屈', '之苦', '惨死', '异族', '杀戮', '受压迫', '悲惨', '饱尝', '拷打', '盛世才', '身受', '葬送', '欺侮', '屈辱', '不白之冤']","['慢性病', '恶性肿瘤', '痴呆', '近视眼', '先天性', '急性', '做手术', '死因', '患有', '肢体', '腹泻', '致人', '脑血管', '精神失常', '轻伤', '新生儿', '多发性', '悔改', '斜颈', '骨质增生']","['浩劫', '深重', '内乱', '饱经', '后遗症', '无法控制', '战乱', '遗留下', '所受', '严酷', '不义', '恐惧', '灾祸', '触发', '矛盾激化', '不良影响', '骨肉分离', '频仍', '维系', '愚昧无知']","['危', '挑拨', '吞并', '背叛', '离间', '内乱', '走狗', '阴谋活动', '图谋', '主义者', '独裁', '三十九年', '敌对', '瓜分', '统治集团', '仇恨', '桑岛', '暴政', '纷争', '招致']","['阴谋活动', '复国主义', '猖狂进攻', '索摩查', '雇佣军', '走狗', '罪恶行径', '诬蔑', '分裂主义', '犹太', '占领者', '残暴', '野蛮暴行', '恐怖主义', '暴行', '叛乱', '精心策划', '匪徒', '卖国', '恐怖活动']","['领土完整', '国家主权', '干涉内政', '自决权', '内部事务', '领土', '内政', '互不干涉', '自决', '民族自决', '马尔维纳斯群岛', '福克兰群岛', '独立国家', '民族尊严', '他国', '治权', '豁免', '互不侵犯', '民族利益', '巴勒斯坦国']","['恐怖活动', '好战', '暴力行动', '极端分子', '阴谋活动', '扩张政策', '颠覆', '雇佣军', '复仇主义', '对尼', '扩张主义', '恶毒', '灭绝种族', '实力政策', '图谋', '占领者', '野蛮暴行', '武装侵略', '走狗', '策划者']"
1985,"['论资排辈', '封建思想', '作怪', '重男轻女', '鄙薄', '世俗', '余毒', '陈腐', '封建意识', '习惯势力', '因循守旧', '思想意识', '受旧', '宗派主义', '陈旧观念', '遗风', '男尊女卑', '流毒', '禁锢', '旧思想']","['受压迫', '蹂躏', '凌辱', '奴役', '压榨', '悲惨遭遇', '饱受', '欺压', '祸害', '憎恨', '痛恨', '民族压迫', '异族', '杀戮', '横遭', '屈辱', '暴政', '为所欲为', '买办', '压迫']","['收治', '脑血管病', '不育症', '痔', '就诊', '矽肺病', '恢复期', '瘘', '康复', '慢性病', '口腔', '专科门诊', '诊所', '偏瘫', '结核病', '医学院校', '重危', '放射科', '防治所', '救护站']","['灾祸', '所受', '深重', '磨难', '战乱', '困苦', '折磨', '劫难', '惨痛教训', '惨绝人寰', '浩劫', '饱受', '灾难性', '骇人听闻', '厄运', '颠沛流离', '痛恨', '灭顶之灾', '苦斗', '受尽']","['割据', '挑拨', '主义者', '导火线', '对峙', '退让', '阴谋', '阴谋活动', '独裁统治', '军事冲突', '民族和解', '敌对', '正统派', '反华', '抗美', '流血冲突', '派别', '红色高棉', '宪制', '阶级矛盾']","['图谋', '阴谋诡计', '分化瓦解', '挑拨', '亲日派', '阴谋活动', '傀儡政权', '策划', '戳穿', '妄图', '吞并', '气焰', '反华', '剿共', '策动', '必遭', '未能得逞', '攘外必先安内', '卖国', '既成事实']","['领土完整', '国家主权', '自决', '干涉内政', '互不干涉', '领土', '内政', '内部事务', '自决权', '马尔维纳斯群岛', '巴勒斯坦国', '互不侵犯', '民族自决', '重返家园', '民族尊严', '治权', '合法权利', '民族自决权', '他国', '原则立场']","['恐怖活动', '恐怖行动', '复国主义', '贩毒', '扩张政策', '暴力行动', '劫持人质', '暴力行为', '反恐怖', '国际公法', '泄密', '现政权', '破坏活动', '扩张主义', '臭名昭著', '美以', '侵略性', '犹太', '辩解', '采取任何']"
1986,"['世俗', '成见', '陈腐', '愚昧无知', '小生产者', '封建意识', '重男轻女', '因循守旧', '文人相轻', '作祟', '愚昧落后', '自私自利', '鄙视', '客观事实', '习气', '作怪', '错误观念', '狭隘', '思想意识', '错误思想']","['杀戮', '惨无人道', '唾弃', '惨酷', '仇视', '蹂躏', '欺压', '主子', '残害', '恐吓', '仇恨', '爪牙', '侵扰', '非法行为', '残忍', '蒙蔽', '不人道', '诱降', '受害国', '占领者']","['近视眼', '胃炎', '小儿麻痹', '风湿病', '肺病', '肺炎', '喉癌', '患儿', '老年性痴呆', '眼疾', '此病', '聋哑', '轻度', '牛皮癣', '危重', '阑尾炎', '截肢', '精神分裂症', '肺气肿', '肩周炎']","['神经系统', '后遗症', '弹道学', '脊髓', '脑血管', '折磨', '病变', '恶果', '医治', '中风', '肢体', '肉体上', '肉体', '坏死', '忍受着', '中枢神经', '溶血性', '肝', '精神负担', '缺损']","['阴谋活动', '永久化', '阴谋', '篡党夺权', '主义者', '对峙', '终将', '政治势力', '内战', '非正义', '希特勒法西斯', '力量悬殊', '流血冲突', '分裂主义', '野心', '敌对', '转入地下', '反越', '批林批孔', '篡夺']","['阴谋活动', '篡党夺权', '策动', '未能得逞', '妄图', '永久化', '祸国殃民', '颠覆', '反华', '分裂主义', '顽固派', '倒行逆施', '惨酷', '反越', '占领者', '夺权', '爪牙', '图谋', '气焰', '诬蔑']","['领土完整', '民族尊严', '国家主权', '内部事务', '民族自决', '自决', '主权国家', '独立国家', '合法权利', '民族自决权', '内政', '运河区', '自决权', '盟友', '互不干涉', '基本准则', '巴勒斯坦国', '国际法', '领土', '武装入侵']","['恐怖活动', '恐怖行动', '毒品走私', '武装入侵', '暴力行动', '美以', '恐怖分子', '天主教会', '亵渎', '意奥', '挑衅性', '非暴力', '制造舆论', '恐怖组织', '武装侵略', '民族自决权', '军事行动', '反恐怖', '对利', '强硬态度']"
1987,"['世俗', '狭隘', '自私', '利己主义', '男尊女卑', '虚无主义', '旧习惯', '旧思想', '守旧', '重男轻女', '论资排辈', '思想观点', '轻商', '封建意识', '自私自利', '人治', '宗法', '安于现状', '实用主义', '作怪']","['官僚资本', '异族', '凌辱', '剥削者', '而动', '同化', '奴役', '压迫', '附属国', '卑鄙', '欺侮', '仇视', '蹂躏', '有百害而无一利', '买办', '与生俱来', '有色人种', '资产者', '禁忌', '弱国']","['诊治', '老年病', '慢性病', '收治', '小儿麻痹', '重症', '病患者', '小儿麻痹症', '肺炎', '病儿', '病区', '肝炎', '脑性', '皮肤病', '眼病', '喉癌', '疾患', '中晚期', '入院', '截瘫']","['眼疾', '危重', '缺损', '医治', '断肢', '转危为安', '不浅', '感染', '损伤', '无可挽回', '精神负担', '疾患', '病痛', '并发症', '短缩', '坏死', '肉体上', '身心', '煎熬', '严峻考验']","['阴谋活动', '分裂主义', '妄想', '妄图', '统治集团', '主义者', '永久化', '独裁统治', '一小撮', '蓄意', '阴谋', '顽固派', '制造事端', '敌视', '内战', '仇视', '武装侵略', '一党', '得逞', '事端']","['阴谋活动', '妄想', '血腥', '武装侵略', '分裂主义', '叛乱', '穷兵黩武', '抵抗运动', '傀儡政权', '蓄意', '顽固派', '倒行逆施', '悍然', '反动势力', '策划', '颠覆', '妄图', '破坏活动', '倒戈', '派兵']","['领土完整', '内部事务', '国家主权', '主权国家', '互不干涉', '自决权', '民族自决', '互不侵犯', '自决', '独立国家', '割让', '无可争辩', '睦邻政策', '民族尊严', '麦克马洪线', '无核国家', '合法权利', '私性', '并吞', '扩张政策']","['反苏', '恐怖活动', '挑衅性', '贩毒', '反恐怖', '敌对势力', '暴力行为', '复国主义', '强权政治', '反民主', '破坏活动', '高压政策', '扩张主义', '颠覆', '武力威胁', '激起公愤', '阴谋活动', '国际舆论', '必要措施', '露骨']"
1988,"['世俗', '鄙视', '守旧', '外来文化', '狭隘', '剥削阶级', '根深蒂固', '个人主义', '因袭', '封建残余', '家长制', '习惯势力', '成见', '惰性', '愚昧落后', '教条式', '陈规陋习', '功利主义', '定势', '遗毒']","['蹂躏', '犹太民族', '强暴', '震怒', '专横', '受尽', '压榨', '暴烈', '政客', '放逐', '杀戮', '凌辱', '刑讯', '刽子手', '灭绝人性', '未泯', '怒斥', '利诱', '残暴', '令人发指']","['偏瘫', '婴幼儿', '脊柱', '肝硬化', '慢性病', '喉癌', '小儿麻痹', '贫血', '重症', '沙眼', '肝病', '诊治', '救治', '不育症', '肾癌', '先天性', '截瘫', '小儿', '收治', '遗传病']","['衰竭', '肉体', '危险性', '所受', '医治', '透析', '折磨', '身心', '损伤', '摧残', '切口', '疼痛', '无法估量', '深重', '外伤', '眼球', '缺氧', '弹道学', '化疗', '冠状动脉']","['永久化', '主义者', '敌对', '阴谋活动', '妄想', '殖民主义', '台湾独立', '分离主义', '阴谋', '霸权主义', '既成事实', '敌对势力', '图谋', '一党', '三座大山', '反华', '反殖', '反侵略', '政治危机', '罪恶行径']","['阴谋活动', '图谋', '罪恶行径', '事端', '倒行逆施', '蓄意', '恐怖行动', '大屠杀', '政变', '永久化', '妄图', '策划', '顽固派', '叛国', '独裁', '扩张主义', '挑衅', '汉奸', '武装入侵', '反党集团']","['领土完整', '国家主权', '内部事务', '干涉内政', '民族自决', '无可争辩', '自决权', '自决', '自由民主', '互不干涉', '民族自决权', '东沙群岛', '生存权', '领土', '宗教自由', '交战国', '无核国家', '合法权利', '强权政治', '南太']","['暴力行为', '恐怖活动', '恐怖行动', '精心策划', '暴力行动', '非暴力', '毒品走私', '反恐怖', '以反', '贩毒', '报复性', '南非政府', '敌对', '武装侵略', '恐怖', '以色列政府', '预谋', '罪恶行径', '不得人心', '间谍']"
1989,"['不怀', '鄙薄', '自负', '憎恶', '崇洋媚外', '目光短浅', '拜金主义', '虚荣', '实用主义', '鄙视', '摈弃', '好恶', '利害', '教师职业', '鄙弃', '自视', '盲从', '盲目崇拜', '愚弄', '世俗']","['蹂躏', '欺侮', '杀戮', '百般', '异族', '受尽', '干着', '酷刑', '昏庸', '严刑拷打', '盛气凌人', '魔王', '无耻', '非人', '走狗', '看穿', '暴君', '宽恕', '压迫', '宰割']","['心血管病', '弱视', '白血病', '高血压', '先天性', '病毒感染者', '新生儿', '性病', '癌', '接生', '腹泻', '淋巴', '孕妇', '综合症', '胃癌', '肺癌', '精神病人', '糖尿病', '疾病', '冠心病']","['医治', '麻风病', '病痛', '愈合', '浩劫', '烧伤', '困窘', '癌前', '必定会', '惨祸', '纷乱', '不治之症', '主导性', '肾移植', '世界大战', '养料', '重整', '荡涤', '打上', '不孕症']","['主义者', '敌对', '暴力行动', '台湾独立', '图谋', '阴谋活动', '敌视', '一中一台', '分裂主义', '霸权', '复辟', '分离主义', '四分五裂', '离间', '沙文主义', '蓄意', '民族情绪', '帝国主义者', '张国焘', '所犯']","['阴谋活动', '反动分子', '险恶用心', '图谋', '暴力行动', '蓄意', '破坏活动', '帝国主义者', '挑动', '策动', '事端', '篡党夺权', '得逞', '反扑', '妄想', '罪恶行径', '幕后策划', '网罗', '策划者', '未能得逞']","['领土完整', '国家主权', '民族自决权', '自决', '民族尊严', '独立国家', '民族自决', '自决权', '领土', '互不侵犯', '内部事务', '内陆国', '行使主权', '互不干涉', '主权国家', '他国', '基本准则', '相互尊重', '阿拉伯河', '干涉内政']","['恐怖行动', '对诺列加', '不人道', '暴力行动', '军政当局', '恐怖活动', '沙文主义', '分离主义', '新纳粹', '占领者', '高压政策', '施加影响', '侵略扩张', '反苏', '宣传战', '极右翼', '化学工厂', '南非政府', '暴力行为', '秘密活动']"
