Year,prejudice,bullying,mental disorder,trauma,secession,conspiracy,sovereignty,terrorism
1990,"['偏激', '厌恶', '良知', '狂妄', '世俗', '鄙视', '漠视', '异化', '自私', '没落', '因循守旧', '怜悯', '陈腐', '幼稚', '迷惘', '恐惧', '无知', '盲目崇拜', '逆来顺受', '排外']","['宰割', '奴役', '饱受', '任人宰割', '受尽', '欺侮', '蹂躏', '苦难深重', '灾难深重', '走狗', '半封建社会', '屈辱', '旧时代', '官僚资本主义', '半封建', '凌辱', '弱国', '深渊', '近百年来', '沦丧']","['治愈', '先天性', '患有', '妇科病', '周某', '复发', '风湿性关节炎', '糖尿病', '肝硬化', '精神病人', '危重', '风湿病', '缠身', '三叉神经痛', '中晚期', '慢性病', '偏瘫', '症', '遗传病', '支气管炎']","['深重', '骨肉分离', '苦难', '饱尝', '后患', '百废待兴', '福音', '恐惧感', '郁闷', '幼小', '水深火热', '病痛', '忍受', '解救出来', '磨砺', '饱经', '难以言状', '重负', '痛苦', '医治']","['分裂主义', '台湾独立', '壁障', '阴谋活动', '割据', '现政权', '离心', '独裁统治', '障壁', '制造事端', '独裁', '专制', '统治集团', '敌对', '搞垮', '划清界线', '妄图', '反分裂', '夺权', '反民主']","['阴谋活动', '夺权', '妄图', '破坏活动', '事端', '顽固派', '反动势力', '图谋', '策动', '颠覆', '反华', '伺机', '反共', '制造事端', '宣传煽动', '敌对', '挫败', '敌对势力', '妄想', '叛乱']","['领土完整', '国家主权', '独立国家', '自决', '民族自决', '内部事务', '合法权利', '互不侵犯', '民族尊严', '自决权', '以色列国', '外来干涉', '国权', '合法政府', '行使主权', '托管地', '司法权', '国籍法', '斯湾', '民族自决权']","['极端主义', '暴力行动', '恐怖活动', '非正义', '侵略扩张', '罪恶行径', '保守势力', '分离主义', '极右', '怂恿', '极端分子', '现政权', '扩张政策', '反民主', '违宪', '制造事端', '扩张主义', '破坏分子', '天皇制', '胁迫']"
1991,"['别有用心', '自暴自弃', '不怀', '极少数人', '不抱', '无知', '狭隘', '成见', '轻视', '恶意', '软弱', '左顾右盼', '荒谬', '鄙视', '习惯势力', '之徒', '非议', '欺压', '非人', '实用主义']","['受尽', '凌辱', '奴役', '官僚资本主义', '屈辱', '任人宰割', '欺辱', '欺压', '宰割', '身受', '受压迫', '蹂躏', '列强', '欺侮', '枷锁', '外族', '灾难深重', '统治者', '盘剥', '军阀割据']","['急诊', '偏瘫', '骨科', '内科', '风湿病', '司法鉴定', '皮肤病', '肾炎', '患有', '行动不便', '阑尾炎', '心肌梗塞', '眼病', '癫痫病', '肝病', '血液病', '截瘫', '患儿', '此病', '孤寡']","['医治', '治愈', '浩劫', '天灾人祸', '祸患', '惨重', '诸多困难', '救治', '突发事件', '不测', '后患', '受到破坏', '巨大损失', '严重损失', '福音', '祸害', '深重', '生灵涂炭', '羁绊', '估量']","['台独分子', '倒行逆施', '台湾独立', '背叛', '永久化', '一小撮', '罪恶', '阴谋', '独台', '气焰嚣张', '叛国', '数典忘祖', '得逞', '台独', '妄图', '一中一台', '玩火自焚', '分裂主义', '坐视', '千古罪人']","['罪恶', '倒行逆施', '独裁', '图谋', '妄图', '卖国', '分裂主义', '帝国主义者', '叛乱', '反党', '叛国', '专制', '叫嚣', '反共', '反华', '独裁统治', '反动势力', '破坏活动', '台独分子', '策动']","['领土完整', '国家主权', '以色列国', '自决权', '主权国家', '自决', '内部事务', '尊重人权', '干涉内政', '终审权', '民族自决', '民族自决权', '海洋权益', '司法权', '合法政府', '民族尊严', '犹太民族', '睦邻政策', '互不干涉', '立法权']","['恐怖活动', '灭绝种族', '武力威胁', '挑衅', '洗钱', '暴力行为', '杀伤性', '武装侵略', '非法组织', '恐怖组织', '非暴力', '核战争', '敌对行动', '酷刑', '流血冲突', '暴力行动', '合法化', '非军事', '使用暴力', '破坏活动']"
1992,"['无知', '拜金主义', '厌倦', '责难', '习气', '懒惰', '旧思想', '习惯势力', '作祟', '唯心主义', '鄙视', '个人主义', '自私', '虚伪性', '滋长', '仇恨', '既得利益', '作怪', '极少数人', '社会存在']","['欺侮', '抵御外侮', '封建统治', '受尽', '孤傲', '凌辱', '生离死别', '孱弱', '侵凌', '泯灭', '国殇', '死得', '劫掠', '冒犯', '哪有什么', '我常', '坚贞', '尊崇', '轻蔑', '那首歌']","['近视眼', '重症', '哮喘病', '诊治', '湿疹', '青光眼', '脑血管病', '脊髓', '类风湿病', '眼病', '急症', '老年病', '此病', '外科', '关节病', '余例', '治愈', '危重病', '脑肿瘤', '多例']","['医治', '眼疾', '并发症', '夺去', '饱经', '产妇', '救治', '肉体上', '瘟疫', '高原病', '肉体', '食不果腹', '后遗症', '自理能力', '病毒感染', '颠沛流离', '扼杀', '毁于一旦', '折磨', '转危为安']","['敌对', '分裂主义', '图谋', '台独', '台湾独立', '阴谋活动', '分离主义', '一小撮', '阴谋', '两府', '一中一台', '颠覆', '政教合一', '野心', '敌视', '民族压迫', '势力', '神权', '罪恶', '反殖']","['暴乱', '卖国', '煽动', '倒行逆施', '罪行', '酷刑', '镇压', '背叛', '行径', '反共', '颠覆', '顽固派', '顽固', '挑衅', '残暴', '反党', '汉奸', '诬蔑', '反动派', '独裁']","['国家主权', '领土完整', '民族利益', '民族自决权', '自决', '海洋权益', '干涉内政', '民族尊严', '内政', '尊重人权', '主权国家', '内部事务', '自决权', '互不干涉', '马尔维纳斯群岛', '四岛', '民族自决', '生存权', '践踏', '尊严']","['暴力行为', '恐怖活动', '颠覆', '极端主义', '武装侵略', '排外主义', '台湾独立', '镇压', '暴力行动', '行径', '核扩散', '洗钱', '领水', '酷刑', '公共秩序', '灭绝种族', '破坏活动', '独裁', '犯下', '国际制裁']"
1993,"['偏颇', '目光短浅', '习惯势力', '狭隘', '思想意识', '根深蒂固', '毋庸讳言', '无政府主义', '厌倦', '心理障碍', '优越感', '人权观', '错误认识', '过激', '各不相同', '既得利益', '不无关系', '剥削制度', '陈规陋习', '脱离现实']","['凌辱', '被压迫', '饱受', '屈辱', '受尽', '欺压', '奴役', '列强', '附属国', '压迫', '悲惨', '农奴制', '殖民主义者', '统治者', '饱经忧患', '官僚资本主义', '唾弃', '憎恨', '掠夺', '深重']","['多例', '胃癌', '淋巴', '尿毒症', '复明', '心肌梗塞', '瘤', '肺气肿', '精神分裂症', '膀胱癌', '急性', '肾移植', '新疗法', '人经', '重症', '移植手术', '脑膜炎', '病毒性', '痤疮', '矫形']","['摧残', '深重', '蹂躏', '灾难', '流血', '煎熬', '惨痛', '饱经', '血腥', '深表同情', '折磨', '不白之冤', '内乱', '饥荒', '心肌梗塞', '浩劫', '困苦', '免遭', '农奴制', '缠身']","['台湾独立', '反华', '分裂主义', '妄图', '图谋', '排外主义', '决裂', '主义者', '势力', '殖民统治', '专制', '仇恨', '四分五裂', '敌视', '坐视', '侵略战争', '两席', '极右', '挑衅', '倒行逆施']","['暗杀', '镇压', '妄图', '谋杀', '屠杀', '挑衅', '圣战', '图谋', '反华', '罪名', '利比亚人', '恐怖分子', '血腥', '行刺', '反动派', '密谋', '空难事件', '恐怖主义', '反抗', '抵抗力量']","['领土完整', '国家主权', '自决', '民族自决权', '内部事务', '互不侵犯', '外来干涉', '自决权', '叙伊土', '永久中立', '民族尊严', '治权', '领土', '互不干涉', '自治权', '国内法', '干涉内政', '尊重人权', '有损于', '民族利益']","['反华', '分裂主义', '暴力行为', '挑衅', '暴力行动', '恐怖活动', '报复性', '圣战', '敌视', '台湾独立', '军事冲突', '哈马斯', '专横', '情报机构', '排外主义', '叛乱', '不人道', '武装入侵', '抵抗力量', '恐怖组织']"
1994,"['善恶', '全盘否定', '偏激', '傲慢', '偏颇', '唯心主义', '似是而非', '自相矛盾', '懦弱', '厌倦', '不加分析', '西学', '根深蒂固', '极少数人', '世俗', '荒谬', '一丝一毫', '嘲讽', '怀旧', '责难']","['奴役', '宰割', '欺侮', '凌辱', '受尽', '任人宰割', '蹂躏', '掠夺', '受压迫', '压迫', '欺压', '官僚资本主义', '屈辱', '仇恨', '被压迫', '残暴', '摧残', '嘲弄', '反抗', '列强']","['骨科', '结核病', '眼病', '肝病', '骨髓炎', '脉管炎', '专科医院', '血液病', '肾病', '癫痫', '妇科', '癫痫病', '诊治', '脑瘤', '骨质增生', '骨病', '牛皮癣', '牙病', '职业病', '疑难病']","['医治', '后遗症', '病痛', '小儿麻痹症', '肢体', '折磨', '核战争', '祸根', '免于', '缺损', '尿毒症', '脏器', '脊柱', '并发症', '治愈', '截肢', '鼾症', '排异', '饥饿', '肉体']","['图谋', '两府', '一中一台', '阴谋', '台湾独立', '反共', '煽动', '妄图', '主义者', '不得人心', '分裂主义', '分治', '政治阴谋', '颠覆', '治权', '敌视', '种族歧视', '武装侵略', '台独', '帝国主义']","['颠覆', '图谋', '妄图', '台湾独立', '极端主义', '煽动', '镇压', '反共', '鼓噪', '未能得逞', '政治阴谋', '独裁', '破坏活动', '台独', '两府', '突然袭击', '暴力行为', '背叛', '法西斯主义', '野蛮']","['领土完整', '国家主权', '治权', '外来干涉', '互不侵犯', '自决权', '武装侵略', '内政', '内部事务', '平等互惠', '原则立场', '以强凌弱', '互不干涉', '武力威胁', '先不谈', '干涉内政', '欺小', '领土', '当事国', '无可争辩']","['极端主义', '破坏活动', '反毒', '预防性', '暴力行为', '恐怖活动', '暴力行动', '极端分子', '挑衅', '公共秩序', '窃密', '合法化', '恐怖事件', '武装集团', '扫毒', '颠覆', '纳粹主义', '杀伤性', '叛乱', '贪污腐败']"
1995,"['优越感', '无知', '根深蒂固', '横加指责', '重男轻女', '偏狭', '蔑视', '利己主义', '封建意识', '肤浅', '虚无主义', '性别歧视', '习惯势力', '其本质', '儒家文化', '世俗', '曲解', '作怪', '不抱', '甚嚣尘上']","['欺侮', '屈辱', '压迫', '凌辱', '列强', '宰割', '灾难深重', '奴役', '受尽', '受压迫', '血泪史', '受辱', '蹂躏', '外族', '官僚资本主义', '枷锁', '压榨', '饱尝', '奇耻大辱', '饱受']","['脑血栓', '哮喘病', '白血病', '肾病', '关节炎', '肝病', '重症', '先天性', '肺癌', '此病', '多发性', '子宫', '脑瘫', '患上', '轻度', '脊髓', '小儿麻痹', '万例', '肝炎', '骨癌']","['深重', '创痛', '医治', '难以忍受', '深表同情', '灾难', '战祸', '劫难', '无法估量', '浩劫', '悲惨', '悲伤', '免遭', '煎熬', '内乱', '巨大损失', '后遗症', '灾祸', '生存环境', '仇恨']","['分治', '图谋', '台湾独立', '一中一台', '台独分子', '分裂主义', '鼓吹', '祸藏', '祸教', '穷兵黩武', '妄图', '独台', '暴露无遗', '行径', '台独', '倒行逆施', '坐视不理', '叛国', '挟洋', '宪政改革']","['颠覆', '独裁统治', '背信弃义', '煽动', '叛乱', '顽固派', '张国焘', '叛国', '行径', '挑衅', '分裂主义', '罪恶行径', '反动派', '投敌', '逆流', '伊阵', '独裁', '策动', '倒行逆施', '相勾结']","['领土完整', '国家主权', '海洋权益', '民族尊严', '自决权', '内部事务', '自决', '外来干涉', '内政', '承担义务', '原则立场', '互不干涉', '互不侵犯', '无可争辩', '干涉内政', '神圣不可', '领土', '统治权', '军贸', '合法政府']","['恐怖活动', '极端主义', '恐怖行动', '原教旨主义', '巴激进', '偷猎', '极端分子', '贩毒', '扫毒', '反毒', '种族歧视', '暴力犯罪', '伊阵', '恐怖组织', '破坏活动', '流血冲突', '现政权', '家庭暴力', '游行示威', '核扩散']"
1996,"['不抱', '优越感', '曲解', '排外', '敌意', '孤立主义', '别有用心', '论者', '尖锐对立', '后现代主义', '无知', '傲慢', '全盘西化', '奇谈怪论', '不能容忍', '容忍', '横加指责', '贬低', '指手划脚', '处心积虑']","['欺侮', '蹂躏', '受压迫', '封建统治', '凌辱', '被压迫', '殖民主义', '压迫', '列强', '饱经忧患', '灾难深重', '欺压', '外敌', '统治者', '滔天罪行', '危亡', '枷锁', '暴虐', '摧残', '压榨']","['慢性病', '脑瘫', '多例', '白内障', '肝硬化', '矫治', '腹水', '重症', '类风湿', '肝癌', '重度', '脱残', '先天性', '白血病', '尿毒症', '心脑血管', '脑血管病', '育龄妇女', '胎儿', '遗传病']","['医治', '后遗症', '休克', '劫难', '衰竭', '免遭', '冠心病', '煎熬', '治愈', '浩劫', '躯体', '综合症', '折磨', '摧残', '截肢', '免疫系统', '苦痛', '愈合', '肝脏', '深重']","['一中一台', '台湾独立', '台独', '图谋', '倒行逆施', '分裂主义', '分治', '真独', '罔顾', '挟洋', '假统', '妄图', '叛国', '越走越远', '阴谋活动', '割据', '相勾结', '不得人心', '民族大义', '侵略扩张']","['妄图', '分裂主义', '攘外必先安内', '独裁统治', '反共', '倒行逆施', '反动分子', '顽固派', '第一枪', '统治集团', '独裁', '悍然', '美帝国主义', '反动派', '美蒋', '追随者', '阴谋活动', '自卫战争', '卖国', '反动势力']","['领土完整', '国家主权', '自决', '内部事务', '外来干涉', '管辖权', '民族尊严', '正义斗争', '海洋权益', '台澎金马', '互不侵犯', '治权', '领土', '承担义务', '内政', '干涉内政', '民族自决权', '自决权', '说三道四', '互不干涉']","['恐怖活动', '恐怖组织', '暴力行动', '恐怖行动', '恐怖袭击', '共同行动', '扫毒', '反美', '原教旨主义', '挑衅', '洗钱', '破坏活动', '挑衅性', '暴力犯罪', '圣战', '劫机', '反伊', '暴力行为', '反恐怖', '一小撮']"
1997,"['不抱', '论调', '虚无主义', '疏离', '傲慢', '嘲弄', '借题发挥', '暴富', '偏颇', '别有用心', '性别歧视', '凡此种种', '低级趣味', '曲解', '站不住脚', '政客', '盲目崇拜', '以偏概全', '荒谬', '作怪']","['奴役', '凌辱', '宰割', '蹂躏', '封建统治', '欺侮', '受尽', '压迫', '压榨', '外敌', '任人宰割', '奔走呼号', '残暴', '贫弱', '外侮', '血腥', '列强', '英勇斗争', '农奴主', '暴政']","['肺结核', '心脑血管', '淋巴', '肝癌', '癫痫', '肝炎', '多发病', '冠心病', '肾脏', '妇科', '病症', '乳腺癌', '骨质增生', '痴呆', '恶性肿瘤', '先天性', '精神分裂症', '弱视', '乙肝', '患有']","['深重', '世界大战', '折磨', '病痛', '摧残', '浩劫', '医治', '肉体上', '战乱', '饱尝', '惨重', '忍受着', '灭顶之灾', '雷击', '十年内乱', '精神负担', '中受', '灾难', '窒息', '十年浩劫']","['台独', '分裂主义', '势力', '图谋', '一中一台', '分治', '同流合污', '藏独', '昂岛', '达赖喇嘛', '阴谋活动', '达赖', '煽动', '儒昂岛', '台湾独立', '罪恶行径', '阴谋', '分离主义', '不得人心', '台湾岛']","['顽固派', '暴政', '悍然', '镇压', '蓄意', '反共', '阴谋活动', '颠覆', '武装侵略', '独裁统治', '叛乱', '残暴', '矛头', '反动派', '侵略战争', '妄图', '法西斯', '卖国', '分裂主义', '倒行逆施']","['领土完整', '国家主权', '领土', '承担义务', '海洋权益', '民族尊严', '治权', '互不侵犯', '独立国家', '领海', '内政', '内部事务', '原则立场', '尼泊尔政府', '正义斗争', '管辖权', '自决', '主持正义', '干涉内政', '租借地']","['恐怖活动', '恐怖', '暴力行为', '反恐怖', '极端主义', '极端派', '越境', '挑衅', '采取任何', '滥伤', '恐怖组织', '暴力行动', '顽固立场', '核扩散', '敌对行动', '极端分子', '行径', '颠覆', '种族歧视', '分离主义']"
1998,"['强加于人', '相对主义', '政客', '偏执', '形而上学', '教条式', '狭隘', '仇视', '陈腐', '西化', '民族压迫', '颐指气使', '虚伪', '盲从', '守旧', '谬论', '低级趣味', '礼教', '保守主义', '拒斥']","['屈辱', '列强', '任人宰割', '奴役', '铁蹄', '内忧外患', '灾难深重', '生灵涂炭', '民不聊生', '统治者', '政教合一', '蹂躏', '饱经忧患', '国难', '受尽', '山河破碎', '殖民', '压迫', '枷锁', '危亡']","['心血管', '该病', '更年期', '肾病', '心脑血管病', '三叉神经痛', '类风湿', '脑瘫', '心脑血管', '脑萎缩', '高血压', '肥胖病', '重症', '携带者', '肺癌', '肝病', '病毒感染', '白血病', '内科', '血友病']","['偏瘫', '白血病', '后遗症', '关节炎', '脏器', '脊椎', '治愈', '肺病', '脑神经', '摧残', '中风', '患上', '脑血管', '绝症', '病毒性', '损伤', '癫痫', '肺结核', '弱智', '截肢']","['台独', '图谋', '分裂主义', '正义斗争', '一中一台', '极端主义', '妄图', '势力', '颠覆', '阴谋', '民族压迫', '独裁', '达赖', '种族主义', '张国焘', '原教旨主义', '敌对势力', '顽固立场', '挑衅', '干涉']","['妄图', '颠覆', '倒行逆施', '策动', '张国焘', '独裁', '谋杀', '卖国', '军国主义者', '图谋', '极端主义', '政变', '亲日派', '惨无人道', '极端分子', '招魂', '悍然', '托派', '刺杀', '残暴']","['领土完整', '民族尊严', '内部事务', '国家主权', '马尔维纳斯群岛', '原则立场', '内政', '承担义务', '干涉内政', '互不侵犯', '一切权利', '伊对', '外来干涉', '海洋权益', '当事国', '互不干涉', '合法政府', '分治', '他国', '核国家']","['恐怖活动', '挑衅', '恐怖行动', '极端主义', '分裂主义', '恐怖组织', '恐怖分子', '毒品走私', '核扩散', '敌对势力', '恐怖', '地区冲突', '激进分子', '原教旨主义', '极端分子', '嚣张', '新纳粹', '分化瓦解', '库尔德', '恐怖集团']"
1999,"['仁慈', '利己主义', '根深蒂固', '奇谈怪论', '个人崇拜', '鄙视', '封建思想', '神秘主义', '低级趣味', '专断', '形而上学', '乘虚而入', '偏颇', '个人主义', '成见', '教条主义', '恶毒', '仇视', '错觉', '自大']","['凌辱', '受尽', '宰割', '蹂躏', '奴役', '欺辱', '受压迫', '压迫', '列强', '任人宰割', '饱受', '被压迫', '灾难深重', '铁蹄', '危亡', '屈辱', '官僚资本主义', '创巨痛深', '外族', '欺侮']","['收治', '重症', '尿毒症', '心肌梗塞', '患病', '高血压', '脑血管', '糖尿病', '精神分裂症', '白血病', '新生儿', '帕金森氏', '冠心病', '肺结核', '急性', '脑出血', '心绞痛', '肾脏', '脑炎', '患']","['肾脏', '肾病', '脑血管', '心肌梗塞', '截瘫', '器官移植', '冠心病', '缺血性', '愈合', '外伤性', '弹道学', '心脑血管', '心血管', '肝硬化', '肾功能', '口腔', '肝脏', '帕金森病', '脑出血', '白血病']","['李登辉', '台独', '图谋', '倒行逆施', '妄图', '分裂主义', '两国论', '言论', '势力', '玩火', '司马昭之心', '民族败类', '玩火自焚', '一中一台', '阴谋', '蓄意', '险恶用心', '数典忘祖', '狼子野心', '谬论']","['昭然若揭', '险恶用心', '反动势力', '之流', '狼子野心', '美帝国主义', '倒行逆施', '蓄谋已久', '无耻', '妄图', '玩火自焚', '数典忘祖', '玩火', '得逞', '鼓噪', '丑恶嘴脸', '民族败类', '武装侵略', '发动战争', '叛国']","['领土完整', '国家主权', '领土', '内部事务', '独立国家', '民族尊严', '正义斗争', '钓鱼岛', '内政', '干涉内政', '神圣不可', '国际公法', '法理', '外来干涉', '它国', '自决', '海洋权益', '恶劣行径', '民族利益', '无可争辩']","['极端主义', '恐怖活动', '分裂主义', '分离主义', '反恐怖', '破坏活动', '杀伤性', '原教旨主义', '恐怖分子', '匪帮', '颠覆', '暴力行动', '发动战争', '种族灭绝', '叛国', '核扩散', '恐怖行动', '匪徒', '敌对', '毒品走私']"
2000,"['无知', '隔膜', '憎恶', '误解', '偏执', '厌恶', '被教育者', '偏激', '疏离', '优越感', '根深蒂固', '盲从', '敬畏', '出自于', '仇视', '傲慢', '虚伪', '向钱看', '神秘主义', '中心主义']","['宰割', '外敌', '凌辱', '屈辱', '列强', '奴役', '半封建社会', '被压迫', '半殖民地', '苦难深重', '积贫积弱', '山河破碎', '欺侮', '饱经', '封建统治', '半封建', '专制', '仇视', '压迫', '沦落']","['危重', '颈椎病', '尿毒症', '风湿性', '心肌炎', '肺结核', '类风湿病', '胆囊结石', '风湿病', '哮喘病', '全身性', '白血病', '患有', '肝脏', '眼疾', '肝硬化', '中风', '患上', '急性', '生命垂危']","['愈合', '术后', '颅脑', '肝脏', '治愈', '医治', '危重', '胃肠', '白血病', '肺气肿', '重症', '并发症', '衰竭', '脊髓', '尿毒症', '疑难病症', '综合征', '出血热', '喉癌', '肾功能']","['台独', '图谋', '台湾独立', '分裂主义', '势力', '阴谋', '坐视不管', '妄图', '两国论', '倒行逆施', '李登辉', '谬论', '历史潮流', '一中一台', '坐视', '以拖待变', '祸教', '政治势力', '容许', '分离主义']","['罪恶行径', '政治势力', '妄图', '图谋', '煽风点火', '张目', '一意孤行', '险恶用心', '嘴脸', '入法', '妄想', '处心积虑', '阴谋活动', '一小撮', '诬蔑', '倒行逆施', '颠倒是非', '鼓噪', '蓄意', '制造事端']","['领土完整', '国家主权', '内部事务', '民族尊严', '领土', '自决', '神圣不可', '干涉内政', '独立国家', '东耶', '内政', '中国教会', '外来干涉', '民族自决权', '马尔维纳斯群岛', '前南', '承担义务', '正义斗争', '互不干涉', '互不侵犯']","['极端主义', '恐怖活动', '分裂主义', '分离主义', '恐怖', '恐怖行动', '高加索地区', '恐怖事件', '恐怖组织', '清剿', '杀伤性', '三股', '贩毒集团', '好战', '种族主义', '毒品走私', '排外主义', '恐怖分子', '越境', '邪恶势力']"
