Year,Harm_virtue,Harm_vice,Fairness_virtue,Fairness_vice,Ingroup_virtue,Ingroup_vice,Authority_virtue,Authority_vice,Purity_virtue,Purity_vice
1979,41.73794802,63.72253662,46.1791344,40.96310536,42.71347808,55.00896361,60.55365851,49.11493607,42.42852994,43.53095731
1980,49.09069364,54.50493211,45.20084693,38.49783588,37.54650001,74.78359894,53.62882669,42.18399987,37.29303497,43.12862296
1981,52.84306501,51.95636098,44.98478268,39.51677119,45.54994783,59.86138296,52.85671576,28.56259741,47.41110209,42.74983388
1982,56.02848443,53.23981821,44.18669109,41.61293106,47.58895284,44.07027663,56.15084619,30.99506892,54.13341471,44.0441767
1983,47.08506489,48.52365593,40.49228042,48.15107741,43.82456229,48.92439932,56.96500312,35.34604512,45.88276486,43.51982664
1984,41.14495392,39.2228482,39.92142363,36.25834903,39.27606258,30.12137609,56.69368263,27.80183431,36.09430248,32.65814154
1985,39.90749321,40.7365069,37.45235164,37.86749671,40.23848664,27.16678392,57.53394435,22.67540373,43.31304803,39.0460266
1986,39.71060916,41.87486566,39.70045644,44.63267991,33.68036643,24.1217794,49.7192054,22.19529054,38.78626801,37.96567277
1987,33.48871793,42.13562695,37.21972825,46.20035276,34.22674915,31.69714296,47.1143024,37.7352051,36.97150069,38.05752023
1988,33.5178496,41.47969863,39.51172398,53.01565236,30.2521012,21.41922945,48.4167234,44.59490341,31.28503255,38.71528788
1989,45.60368097,44.89073215,40.67950045,56.40049596,39.25465922,37.11649154,53.90989726,57.76173409,46.46187951,48.89129908
1990,40.81421109,38.57290871,35.32716899,40.85292543,46.71177617,27.59154275,55.54571363,34.44264164,50.74928679,35.87318262
1991,39.74884313,38.29474963,40.95142964,33.88551228,42.94861155,25.70658107,59.82571674,24.65539128,49.36882754,27.1037218
1992,31.16391575,31.70648392,38.31743829,48.14905196,35.74363036,21.31499365,46.82273749,24.76750184,37.36450284,23.2499607
1993,35.01604589,29.40925947,34.84922939,39.09694187,34.03106316,18.85505456,51.28163934,26.58651662,44.05002952,25.98473042
1994,42.43305605,30.25283551,39.16808134,34.60389496,36.71211664,11.54872756,54.14471189,29.58137026,50.50805957,36.31306985
1995,39.31138943,36.96067582,42.54060165,44.09163974,39.93454252,43.27762996,53.84387693,29.72841814,53.89746415,41.30714525
1996,42.28979313,38.66610511,43.10104915,30.05010856,41.63964323,22.60394489,57.00710147,35.26822717,65.03293783,41.55497172
1997,43.01024877,33.65377347,41.94481628,32.7866532,43.81979804,16.26928674,60.58770097,35.49211286,63.63330756,33.4364634
1998,39.73562195,37.74051688,36.42624795,41.61366205,33.59606517,13.82787853,56.22420876,36.55754887,54.06428812,37.5618518
1999,42.43948451,50.57003739,42.33071983,46.30949209,40.09067268,31.33804581,51.09131386,36.82487465,51.56849883,35.87204791
2000,36.17436649,38.64255746,44.90221979,47.23907604,36.16334043,32.68610068,50.74215467,38.51693405,45.62101058,42.51703454
2001,43.00918613,50.7409292,47.01659989,36.9214154,38.23276327,25.4711935,55.24035555,36.46703808,54.00203658,49.07959968
2002,39.84718575,33.30431717,46.49513663,36.46206088,36.17504733,16.9961439,50.69345464,34.40803003,46.87095208,28.53394067
2003,40.91854809,39.27583283,49.09682744,39.98077833,39.30698877,15.75126024,49.70376502,34.78517786,49.06198199,39.87682614
2004,42.4200974,41.32093411,51.22574135,45.39829963,33.35431953,14.71780645,47.79569311,32.71490395,45.6287879,28.46719353
2005,41.96024941,38.42128685,63.44366927,45.12972936,39.2413648,30.13618164,47.65431081,38.42678907,46.91369303,33.14747906
2006,41.51995338,33.10027823,59.16456062,38.37281198,40.40089746,16.20284059,43.91626297,31.23274094,46.20516511,24.27927117
2007,50.42018238,31.82246834,61.47186097,45.13250077,39.11302461,16.95507272,45.71910066,32.60852255,44.2832307,20.27878818
2008,46.48544682,33.05060982,50.2672089,33.44657557,43.64469607,14.08882316,46.58646544,28.66019184,55.70682387,17.51828555
2009,38.3712324,31.9807443,50.14609975,37.15168595,42.18256225,23.22050422,48.19628278,23.45062195,55.04935567,18.83878416
2010,42.14429943,31.85431442,55.04835896,42.61167857,33.0427861,11.94861826,46.34320069,28.05178313,49.25706514,26.70193869
2011,43.1047464,34.06926836,56.23978931,37.56024543,35.31760337,15.8515833,47.12016053,28.98701211,46.67222469,22.73827614
2012,45.14380454,32.62386622,58.60121166,44.72033783,39.1184344,12.53068711,43.79321046,24.30256719,51.57229389,19.37123399
2013,37.70662967,37.54230827,58.03904053,57.54188696,27.64090836,15.78053988,42.97245127,34.18171948,38.80715583,30.15120313
2014,41.6615488,41.99613003,68.6467654,51.88981718,31.96143933,16.35009449,50.27372685,35.90305717,43.7513753,31.77012037
2015,38.53487769,42.33026546,64.95687731,51.72114972,37.86225296,18.97401052,56.25229169,42.44173322,44.4315692,40.21175537
2016,37.16355285,32.35249796,61.30877646,51.3849159,33.5801455,13.49608639,48.2902134,30.92295665,42.0574684,26.92831702
2017,32.25717342,28.20736258,56.36723523,44.75123637,43.74455515,11.19048661,47.55104992,25.3871764,41.35483575,18.4634558
2018,32.35257065,23.61616161,56.55991144,34.98682851,42.84846584,12.07225738,50.13638762,32.06478456,37.42646706,13.89966527
2019,51.23851496,33.35971497,56.55272448,31.87597057,58.27640818,15.14434459,44.40214682,27.04275992,47.85957135,12.60856686
2020,36.60206159,32.45254062,48.25475827,27.54446389,47.04461376,7.959222986,38.6167825,20.49949376,28.4265408,14.42541754
2021,36.84265773,27.69418528,60.14733894,20.88055271,59.52325184,20.31535519,41.51043172,24.37786378,47.83439825,11.22626408